match_end_date,distance,future_5d,future_20d,future_60d
1980-05-12,1.1019715928084444,0.00097418412079886,0.17681441792498775,0.22844617632732578
2018-09-25,1.1559171045062064,0.001998501124156782,0.024148555250228965,0.04021567157964845
1986-09-12,1.2562175393697843,0.025029797377830842,0.02681764004767584,-0.07127532777115608
1993-05-26,1.2777227133602413,-0.013280212483399723,-0.005710491367861836,-0.006108897742363895
2003-08-19,1.3299475929106297,0.006628918657643812,0.03093495373567179,0.07153708051374119
1989-10-25,1.331671374901357,0.011935440119354546,0.11189475111894742,0.10850400108503999
2020-07-20,1.3332808342937585,0.06850822648984756,0.09227975568150559,0.05755791558906087
1998-07-21,1.3473370048419175,-0.010849296490930582,-0.03390405153415832,0.005424648245465402
2010-10-18,1.3568402597788856,-0.02089955789396769,-0.005736417114253434,0.005283349775293322
2021-04-14,1.3747855066755368,0.03271700938886024,0.04568861240711941,0.038845688612407114
1995-12-08,1.3762705503689348,-0.008974358974358942,0.01782051282051289,0.010128205128205003
1985-08-27,1.3833236504257131,-0.04444118509826922,-0.034174244646523855,-0.04429451452038713
1984-09-03,1.3903254958801843,-0.017561683599419453,0.002612481857764859,-0.02206095791001461
2000-09-29,1.4252308919111705,-0.016773017319963612,-0.03536918869644479,-0.0010938924339106704
1992-05-18,1.4342072996952198,-0.003098259073472831,0.010179994098554301,0.023310711124225447
2007-08-03,1.4635882295431102,-0.00029717682020813374,0.0005943536404160454,0.1667161961367014
2014-02-12,1.46721704976549,0.015814990938521234,0.05836521631375935,-0.0012469214207160295
2025-01-30,1.4686498671600696,0.02231816042083934,0.02971936287012733,0.18804423896486977
2002-01-08,1.4848691326544385,0.02006808815624428,0.06629636265902161,0.09604013617631257
2018-04-18,1.4868643507992123,-0.019272107330813082,-0.04328811800459553,-0.07946038099473707
