date,up,fret,p
1975-06-04,0.0,-0.006051455683355267,0.8666946027525708
1975-06-05,1.0,0.0060606246116909545,0.8675667279577545
1975-06-06,0.0,-0.004245003342446653,0.8252387375914676
1975-06-09,0.0,-0.0081980116036033,0.8024787893898655
1975-06-10,0.0,-0.011518769372200387,0.8064347352861129
1975-06-11,0.0,-0.006088298867255293,0.8233466323388942
1975-06-12,0.0,-0.016141663094875174,0.8317677264413222
1975-06-13,0.0,-0.012536473619556806,0.8760215788142536
1975-06-16,0.0,-0.009804000096620856,0.9083021448505144
1975-06-17,0.0,-0.009804000096620856,0.9151161835952362
1975-06-18,1.0,0.0015255533088371917,0.9195661547471654
1975-06-19,1.0,0.0070368961019560035,0.9311267136768573
1975-06-20,1.0,0.012232568435634451,0.9200335651288356
1975-06-23,1.0,0.023430251808386003,0.9144530174754041
1975-06-24,1.0,0.024932881692920815,0.918895248219639
1975-06-25,1.0,0.0060790460763821925,0.9044471352437672
1975-06-26,0.0,0.0,0.8999226875557487
1975-06-27,0.0,-0.0015209128407067314,0.9004007005257173
1975-06-30,0.0,-0.0228146777661714,0.8921005033876964
1975-07-01,0.0,-0.01512888159630009,0.8767954541022559
1975-07-02,1.0,0.005138291492480794,0.8956400697685379
1975-07-03,0.0,-0.004583659667657928,0.904294897787313
1975-07-04,1.0,0.006372347462258612,0.903826737786393
1975-07-07,1.0,0.025817683025940962,0.9314517530677132
1975-07-08,1.0,0.0060790460763821925,0.924573924565027
1975-07-09,0.0,-0.010607767297016188,0.9056533440611539
1975-07-10,1.0,0.00519322993950473,0.928922384367218
1975-07-11,0.0,-0.00789557700278015,0.9138939630869729
1975-07-14,0.0,-0.015106027431013153,0.8822581982849547
1975-07-15,1.0,0.0015140048312150113,0.9063946456646231
1975-07-16,1.0,0.0009136592686747673,0.9224817440658379
1975-07-17,1.0,0.00455997142169484,0.9131382168012919
1975-07-18,1.0,0.013626251711765056,0.9140713781809361
1975-07-21,1.0,0.01660415505203516,0.9128754634810003
1975-07-22,1.0,0.01888262307643065,0.8988700956977124
1975-07-23,1.0,0.018100041643617937,0.8947630110335142
1975-07-24,1.0,0.011159820239008224,0.8973724114926933
1975-07-25,1.0,0.003003005259769556,0.8840025188034915
1975-07-28,0.0,-0.0029985029962565574,0.879732917961608
1975-07-29,0.0,-0.014053153985470796,0.891106115306296
1975-07-30,0.0,-0.01445372949059779,0.8858161770863445
1975-07-31,0.0,-0.008433784929769693,0.8853188377638818
1975-08-01,0.0,-0.01449738468550473,0.8808510138263878
1975-08-04,0.0,-0.028016448736909047,0.8873590784358943
1975-08-05,0.0,-0.01547595748544754,0.8874056954331561
1975-08-06,0.0,-0.015589494997194383,0.8978436142954885
1975-08-07,0.0,-0.02140100020258714,0.8969095651264517
1975-08-08,0.0,-0.013784871368598014,0.9041751874970338
1975-08-11,0.0,-0.0012360941005284142,0.8983213053536991
1975-08-12,0.0,-0.0132370718393373,0.8919387570566829
1975-08-13,1.0,0.0024615397044465428,0.9143556865543284
1975-08-14,1.0,0.0006178560591980444,0.9271707084377032
1975-08-15,0.0,-0.0009257831242921471,0.916201663145896
1975-08-18,1.0,0.0009272137891922675,0.9279914787929001
1975-08-19,1.0,0.0003098373378775558,0.9388090077851368
1975-08-20,0.0,-0.004929153541402529,0.9127406360660242
1975-08-21,0.0,-0.013055827351415125,0.9357781202232275
1975-08-22,0.0,-0.04386252869809164,0.9380506302352514
1975-08-26,0.0,-0.08104722809954189,0.9471082464013622
1975-08-27,0.0,-0.07091984640131045,0.9489252317947721
1975-08-28,0.0,-0.05490828586726875,0.9433061933588777
1975-08-29,0.0,-0.04185245851585357,0.9522285666243531
1975-09-01,0.0,-0.017901210329240178,0.955087722994114
1975-09-02,0.0,-0.005037794029957181,0.9722286395996386
1975-09-03,0.0,-0.0029975043259860153,0.9706143689022896
1975-09-04,0.0,-0.03722596662638909,0.95555094048104
1975-09-05,0.0,-0.03485830105220575,0.95147104533185
1975-09-08,0.0,-0.02662386871217154,0.9545086074882098
1975-09-09,0.0,-0.009472330635362498,0.9720041964370665
1975-09-10,0.0,-0.04782332017273029,0.9670055142318607
1975-09-11,0.0,-0.056780006928511366,0.9770218201812625
1975-09-12,0.0,-0.08824063344435944,0.9776460402763096
1975-09-15,0.0,-0.08184309074114524,0.9787759642578021
1975-09-16,0.0,-0.13324008806354626,0.9813384529761704
1975-09-17,0.0,-0.07367742481377357,0.983574377974885
1975-09-18,0.0,-0.03650040221952653,0.9827478699100753
1975-09-19,1.0,0.00588669838273148,0.9856103878131455
1975-09-22,1.0,0.019213931670703722,0.9850295053203347
1975-09-23,1.0,0.09265883048270476,0.9911746475905667
1975-09-24,1.0,0.07786737507762755,0.9878909906856367
1975-09-25,1.0,0.07275283238025025,0.9859338686466299
1975-09-26,1.0,0.018895911057811195,0.9817341595134869
1975-09-29,1.0,0.010714388212406268,0.9786834234996367
1975-09-30,1.0,0.008810629682154906,0.9701977320623855
1975-10-01,0.0,-0.029705154413915694,0.9733855308520883
1975-10-02,0.0,-0.03267460881283982,0.9748740899701763
1975-10-03,1.0,0.023831823246142126,0.9870575872188772
1975-10-06,1.0,0.008841790581461012,0.9853289589465951
1975-10-07,0.0,-0.014134510934904806,0.9875592847847497
1975-10-08,1.0,0.0244649677503594,0.9893383032701171
1975-10-09,1.0,0.022948932985544568,0.9889184200933014
1975-10-10,1.0,0.0184577763201965,0.9857091693135849
1975-10-13,1.0,0.019181058851843815,0.9861879337211837
1975-10-14,1.0,0.040109997338165455,0.9859254053490144
1975-10-15,1.0,0.012184659016367219,0.9825665436389561
1975-10-16,1.0,0.006263068489562273,0.980808695412015
1975-10-17,0.0,-0.009708814126960938,0.9817734914261291
1975-10-20,0.0,-0.012863031517282828,0.9792714271758545
1975-10-21,0.0,-0.024572961629175258,0.9762466095463497
1975-10-22,0.0,-0.012184659016367217,0.9786971908086664
1975-10-23,0.0,-0.0027787444069514167,0.9784310573922534
1975-10-24,0.0,-0.004189950263854065,0.9789171789923767
1975-10-27,1.0,0.002446270659027114,0.9767520623131136
1975-10-28,1.0,0.009068775093209865,0.9765475559295307
1975-10-29,1.0,0.021826606992620432,0.9724248424187041
1975-10-30,1.0,0.01484577585128024,0.9731771600754269
1975-10-31,1.0,0.01182622478884241,0.9666714169307852
1975-11-03,1.0,0.006609869255999737,0.9641348519343191
1975-11-04,1.0,0.0017346058122083715,0.9633771716367981
1975-11-05,0.0,-0.014150365531183077,0.9663545347211866
1975-11-06,0.0,-0.014150365531183077,0.9642674513551119
1975-11-07,0.0,-0.018144252123403516,0.9555712060720023
1975-11-10,0.0,-0.015374167249587851,0.9536972565742879
1975-11-11,0.0,-0.03527702658081558,0.9621581218769671
1975-11-12,0.0,-0.014706147389695449,0.9545617189431398
1975-11-13,0.0,-0.010131091019681402,0.94897303075233
1975-11-14,0.0,-0.004587973461661432,0.9279284381986893
1975-11-17,0.0,-0.009908078224696188,0.9359748222186998
1975-11-18,1.0,0.015321874655078935,0.8988567501898104
1975-11-19,0.0,-0.008145963231296955,0.9267489856405439
1975-11-20,0.0,-0.024166065847183723,0.9306923870590107
1975-11-21,0.0,-0.022899032770173713,0.9284340135202998
1975-11-24,0.0,-0.019390194577308284,0.9305608249841966
1975-11-25,0.0,-0.014962872676712377,0.9241835830482472
1975-11-26,0.0,-0.008212865303066563,0.9343437635792697
1975-11-27,0.0,-0.0010797193778832401,0.9399911314507676
1975-11-28,0.0,-0.0010863662122208519,0.71531185889593
1975-12-01,0.0,-0.004724704409616153,0.7135782469635304
1975-12-02,0.0,-0.014825800396120109,0.6939809630350877
1975-12-03,0.0,-0.00035861574707432906,0.6484793477430829
1975-12-04,1.0,0.009675760847681078,0.6452756012503548
1975-12-05,1.0,0.005059642163581147,0.7198274295660262
1975-12-08,1.0,0.00653597097978567,0.8260057205786917
1975-12-09,1.0,0.011229967683064244,0.8320198351092285
1975-12-10,0.0,-0.00395328457361503,0.787028204218825
1975-12-11,0.0,-0.009315724840191542,0.7546902102552434
1975-12-12,1.0,0.00287977160861132,0.8041484396691906
1975-12-15,1.0,0.03029994760844986,0.8163755501511296
1975-12-16,1.0,0.01430639565123793,0.8127325687198212
1975-12-17,1.0,0.020670728855052938,0.8372361135559735
1975-12-18,1.0,0.009672294642507507,0.8687653906454
1975-12-19,1.0,0.008233445473408502,0.8810171740825316
1975-12-22,0.0,-0.014500696169983965,0.8021027843583877
1975-12-23,0.0,-0.015748356968139282,0.8651581439525518
1975-12-29,0.0,-0.01959100947716975,0.8128876494280906
1975-12-30,0.0,-0.013639838169870787,0.853240031402928
1975-12-31,0.0,-0.03224332927820984,0.8458407304525543
1976-01-02,0.0,-0.027448454888177314,0.8563614464920302
1976-01-05,0.0,-0.014169174381725777,0.8944025503174226
1976-01-06,0.0,-0.051672010544320926,0.8880222062443534
1976-01-07,0.0,-0.05956356585342415,0.8982729475982266
1976-01-08,0.0,-0.024600569698318992,0.9066496452873752
1976-01-09,0.0,-0.04302140889661568,0.8852124973513242
1976-01-12,0.0,-0.058386002428935276,0.8811241181885516
1976-01-13,0.0,-0.057693316233018176,0.8993455177848567
1976-01-14,0.0,-0.042709723247978615,0.9185063862193801
1976-01-15,0.0,-0.049110970339210115,0.8866713372927939
1976-01-16,0.0,-0.013857034661426354,0.929585291967096
1976-01-19,0.0,-0.02553664595554056,0.9447196390464869
1976-01-20,1.0,0.013155461802116478,0.93529880125053
1976-01-21,1.0,0.025297791771156486,0.935185383623523
1976-01-22,1.0,0.019235136716452113,0.9391826656522605
1976-01-23,0.0,-0.0066109515515919886,0.9033911474105866
1976-01-26,1.0,0.03710638550295146,0.9460888327436686
1976-01-27,1.0,0.042262540593765975,0.9370904961604483
1976-01-28,1.0,0.012798313143309582,0.9245099703138053
1976-01-29,1.0,0.0011657277403264727,0.9221044390122517
1976-01-30,1.0,0.018937764032250493,0.9401416769300696
1976-02-02,0.0,-0.00230326397409303,0.911899969966641
1976-02-03,0.0,-0.016845727609642824,0.9121675851190082
1976-02-04,1.0,0.008442106930156876,0.9370669216496524
1976-02-05,1.0,0.0234130825245615,0.9451597379800774
1976-02-06,1.0,0.0038211739273234352,0.9271375023898787
1976-02-09,1.0,0.008800515953273668,0.9324170087743785
1976-02-10,1.0,0.005006750300981954,0.9381703601401375
1976-02-11,1.0,0.0026712475338336625,0.909436624184742
1976-02-12,0.0,-0.006088298867255405,0.8823759922078537
1976-02-13,1.0,0.004945796651817699,0.9011165306808849
1976-02-16,1.0,0.0030429844705854216,0.8813673216654796
1976-02-17,1.0,0.017517584277504102,0.8797956394776306
1976-02-18,1.0,0.016629256971534747,0.8715210817886375
1976-02-19,1.0,0.009118604216434338,0.8784816783884023
1976-02-20,1.0,0.004165883699438271,0.8455918129854209
1976-02-23,1.0,0.004925185178591543,0.8368908832394537
1976-02-24,0.0,-0.007959109667568492,0.8387969847965128
1976-02-25,0.0,-0.008658062743114654,0.8415658668802687
1976-02-26,1.0,0.0003781433208228552,0.8462120518194911
1976-02-27,1.0,0.010526412986987383,0.850323842666394
1976-03-01,1.0,0.0033955890011381075,0.838524095616856
1976-03-02,1.0,0.01135085966868948,0.8559178694053212
1976-03-03,1.0,0.012399181958718046,0.8385175786476597
1976-03-04,1.0,0.010530371846519213,0.8343014683215874
1976-03-05,0.0,-0.0026212334798741926,0.8117902414589162
1976-03-08,1.0,0.007878487572080031,0.8163608483477126
1976-03-09,0.0,-0.0030143202929228128,0.8038144220844592
1976-03-10,0.0,-0.004116002069103639,0.7861015857349438
1976-03-11,1.0,0.004479290804046041,0.7783280373763037
1976-03-12,1.0,0.001873010474522093,0.781335584952536
1976-03-15,0.0,-0.000373761918012277,0.7521540630036877
1976-03-16,1.0,0.004518079974788915,0.7932938068107604
1976-03-17,1.0,0.001873010474522093,0.7710052093232382
1976-03-18,0.0,-0.011612792050812287,0.770973303143257
1976-03-19,0.0,-0.013564639034138362,0.7471427334853523
1976-03-22,0.0,-0.027669000257656333,0.7414748662344597
1976-03-23,0.0,-0.033616610798984974,0.712645416789069
1976-03-24,0.0,-0.030397477184371045,0.7012963914414784
1976-03-25,0.0,-0.026729349989660336,0.7134616591683062
1976-03-26,0.0,-0.02069832421581012,0.70641394520305
