market,latest_date,latest_close,horizon,p_up_model,expected_log_return,signal,oos_auc,oos_balanced_accuracy,oos_brier
shanghai,2026-08-12,958.54,5,0.6183002577440339,0.006690358658050152,BULLISH,0.5350742343015652,0.5184381332911738,0.2690652837426037
shanghai,2026-08-12,958.54,20,0.6744562917675122,0.013224716451913785,BULLISH,0.5808716651496229,0.5598420863233209,0.28629578811505385
shanghai,2026-08-12,958.54,60,0.8860640834136372,0.0794831391830961,BULLISH,0.5770588847488195,0.5515055373687481,0.32054491680121666
