date,up,fret,p
2011-03-28,1.0,0.04390360360261251,0.5801876420210952
2011-03-29,1.0,0.05918350417092989,0.6755190704308057
2011-03-30,1.0,0.05521434679613805,0.8444177914854727
2011-03-31,1.0,0.05140116880523697,0.8250595173852656
2011-04-01,1.0,0.0399988395635768,0.885130482408966
2011-04-06,1.0,0.02254471816390007,0.8421288963522462
2011-04-07,1.0,0.013177135892657146,0.7876820119773689
2011-04-08,1.0,0.010021095659929194,0.8437931485873277
2011-04-11,1.0,0.014914086239332198,0.7932958438048753
2011-04-12,1.0,0.028203567922746337,0.7786474802218275
2011-04-13,1.0,0.009688836506614108,0.8878546783822933
2011-04-14,1.0,0.02106424255373523,0.8415064488069455
2011-04-15,1.0,0.008333112398651905,0.7943227038479064
2011-04-18,0.0,-0.002019846473087855,0.8412513284952456
2011-04-19,0.0,-0.0012537977241653992,0.8161546611424673
2011-04-20,0.0,-0.006922871438127792,0.7621633717232361
2011-04-21,0.0,-0.006047314651162504,0.730132121990453
2011-04-22,0.0,-0.004763577237947986,0.6814249066332158
2011-04-25,1.0,0.001262267831457745,0.6868854629108295
2011-04-26,1.0,0.014063054170955984,0.8079255453862946
2011-04-27,1.0,0.014384178559181069,0.707696487920363
2011-04-28,0.0,-0.0017620041057329412,0.5837801699584613
2011-04-29,1.0,0.006563166330921515,0.692633293104082
2011-05-03,1.0,0.00897739722559499,0.614893902346519
2011-05-04,1.0,0.010510749881066475,0.8319442431752079
2011-05-05,1.0,0.022547374276773436,0.9368026911085466
2011-05-06,1.0,0.03171738519907937,0.947260570674285
2011-05-09,1.0,0.03290394905710476,0.9526826340387613
2011-05-10,1.0,0.02518562583709896,0.895555370466944
2011-05-11,1.0,0.013761974661290562,0.876231473840648
2011-05-12,1.0,0.033174640221485745,0.893492299084756
2011-05-13,1.0,0.013465449846117014,0.8855372789407239
2011-05-16,1.0,0.019777399775476164,0.9428685987425425
2011-05-17,1.0,0.01781274235711205,0.9195360300505432
2011-05-18,1.0,0.023180319624049067,0.9121469962663613
2011-05-19,1.0,0.01679324578255735,0.85660290901095
2011-05-20,1.0,0.022194720154103075,0.7922095098514661
2011-05-23,1.0,0.02256764278313395,0.6303748380432114
2011-05-24,1.0,0.012878336818693832,0.3906086030103689
2011-05-25,1.0,0.012032105050242235,0.2510733065155298
2011-05-26,0.0,-0.0034030786560523196,0.22830848379609991
2011-05-27,0.0,-0.01914025302547597,0.1897089766332801
2011-05-30,0.0,-0.023210097548429075,0.20103754079678476
2011-05-31,0.0,-0.020329624670576498,0.19552781052648188
2011-06-01,0.0,-0.0106062319862012,0.284587613992012
2011-06-02,0.0,-0.026739984153167442,0.27402619607578715
2011-06-03,0.0,-0.02344476145080295,0.5730920256772237
2011-06-07,0.0,-0.03181094737308343,0.6593974199161995
2011-06-08,0.0,-0.010964436510843632,0.7419438820758368
2011-06-09,1.0,0.001722653311446156,0.8588409046497631
2011-06-10,0.0,-0.004282929563779529,0.7749181743721719
2011-06-13,1.0,0.010494193378130765,0.7729886271190306
2011-06-14,1.0,0.015520196382506303,0.8224888848336239
2011-06-15,1.0,0.02941891121244854,0.7787244625525633
2011-06-16,1.0,0.03556918444814133,0.7535724767826192
2011-06-17,1.0,0.03236728960823516,0.7920604902519573
2011-06-20,1.0,0.03741531787402245,0.7684679628833652
2011-06-21,1.0,0.03906389087509847,0.7798894537559747
2011-06-22,1.0,0.02881495482295828,0.7873244254346522
2011-06-23,1.0,0.037833761185961004,0.6875409408299356
2011-06-24,1.0,0.04136474222532293,0.6346065991429315
2011-06-27,1.0,0.07594519310717061,0.6549872913111471
2011-06-28,1.0,0.0718377872159389,0.8507364488005761
2011-06-29,1.0,0.07093207706309547,0.8500184295511888
2011-06-30,1.0,0.06476129853613426,0.7934237078783832
2011-07-01,1.0,0.07027492294460698,0.8785482456550749
2011-07-04,1.0,0.06682993135683807,0.9282478075629511
2011-07-05,1.0,0.07529605931282216,0.9466026538266655
2011-07-06,1.0,0.08690080731877774,0.8968388326711284
2011-07-07,1.0,0.07842614952955484,0.788451180624738
2011-07-08,1.0,0.07508765171137133,0.7138082968077712
2011-07-11,1.0,0.09650704776669902,0.5546364489278839
2011-07-12,1.0,0.11814521015601441,0.5690512487555186
2011-07-13,1.0,0.10211641764849548,0.7143545416975674
2011-07-14,1.0,0.10844067019257936,0.6604627648052976
2011-07-15,1.0,0.10102636766078144,0.7665460041780908
2011-07-18,1.0,0.08027404242983904,0.7023301859888801
2011-07-19,1.0,0.09241909477891035,0.6226547729621043
2011-07-20,1.0,0.11075746285250355,0.788792669381888
2011-07-21,1.0,0.1050365765555442,0.47233746639607627
2011-07-22,1.0,0.1504230520875719,0.760847596397146
2011-07-25,1.0,0.15482202326162264,0.635160310773878
2011-07-26,1.0,0.1551170465130064,0.5485312493188208
2011-07-27,1.0,0.12358217578653821,0.4743805962251298
2011-07-28,1.0,0.081079438303613,0.526725307620456
2011-07-29,1.0,0.09490243260193751,0.6368758220230232
2011-08-01,1.0,0.12201515315827031,0.7495370565371541
2011-08-02,1.0,0.10383960281711972,0.6990482458821359
2011-08-03,1.0,0.09625752336613572,0.9548188065514489
2011-08-04,1.0,0.0851796558546954,0.9579928903864839
2011-08-05,1.0,0.10255490959394423,0.9560445905439603
2011-08-08,1.0,0.09706030228553064,0.9926549598398576
2011-08-09,1.0,0.08660435271087652,0.9232477244146228
2011-08-10,1.0,0.04570804263426035,0.9055426182379642
2011-08-11,1.0,0.03888778428705355,0.4910013571941283
2011-08-12,1.0,0.06742870401352963,0.5113789984586216
2011-08-15,1.0,0.04960007498479076,0.3658692608055255
2011-08-16,1.0,0.031877455783863785,0.10360588993061035
2011-08-17,1.0,0.016728590416596596,0.08482240439257302
2011-08-18,0.0,-0.012142104110602845,0.051594028859488904
2011-08-19,0.0,-0.01535967183541391,0.0865109943797712
2011-08-22,0.0,-0.06197626631024392,0.01919865642650205
2011-08-23,0.0,-0.04301149347167699,0.010660619004041352
2011-08-24,0.0,-0.03714777784480359,0.013233307486746382
2011-08-25,0.0,-0.00626424952894284,0.266604933182996
2011-08-26,0.0,-0.07290402909525762,0.11383235711355946
2011-08-29,0.0,-0.098516034958515,0.004341474591392635
2011-08-30,0.0,-0.08708463437950173,0.015337468736239536
2011-08-31,0.0,-0.12627197530235154,0.0006682714085951847
2011-09-01,0.0,-0.10632048501253039,0.001433259166826906
2011-09-02,0.0,-0.10970081799708617,0.0007301124681160564
2011-09-05,0.0,-0.12144757599144398,2.94429453643117e-05
