match_end_date,distance,future_5d,future_20d,future_60d
2011-08-16,1.4888139058345962,0.06884789608688546,0.03239098400916873,-0.00993287125470721
2020-01-08,1.5311596408043453,-0.03643118553842739,-0.011533769546412387,0.03620938227791948
2018-10-16,1.5370646701145818,0.00617620345140768,0.0007266121707538709,0.0423251589464122
2016-01-07,1.6251453759222345,-0.010777683854606868,0.031065088757396442,0.09044801352493659
2026-01-27,1.6274711715130437,-0.04754523763910912,0.004075306083352048,-0.11517093644960741
2019-06-10,1.6728716930658099,0.010802725610769448,0.05152069137443904,0.18264916071131787
2022-03-09,1.6895927181068833,-0.06261386518362255,-0.05062805638124457,-0.04396394668712256
2022-11-11,1.6997167534400741,0.0017210857592446782,-0.008015342250196844,0.01563729346970888
2014-02-14,1.772641292555723,0.01051197196807463,0.04925053533190571,0.015378625656998102
2025-09-11,1.79938111100786,-0.00804063651026743,0.20344736271937225,0.16837189147548082
2025-02-11,1.8172100851434543,-0.004258173651821351,-0.01192871933969153,0.12619943418788448
2012-09-14,1.901644426528651,-0.0041622169281743115,-0.03702182425586675,-0.05410882006626683
2010-10-15,2.0762516694823727,-0.042970590214684634,0.012854162460461671,0.006830876909617034
2021-04-23,2.081942486099174,-0.0118336886993603,0.04850746268656714,0.0029317697228146145
2020-08-07,2.130631479128245,-0.0654184826114027,-0.07377924041625905,-0.09405852530463399
2009-06-01,2.1951970728132584,-0.026044088921960862,-0.04232164449818632,-0.02441633336433824
2012-02-08,2.206258190226325,-0.015321814013308788,-0.04579768495218939,-0.08877145892747307
2013-08-26,2.213710455214378,0.0,-0.05079877939328681,-0.10698258840423625
2008-10-10,2.2433360651922314,-0.12865035516969225,-0.2122138910812944,-0.08933504340962894
2024-04-15,2.2631523304779813,-0.009682911257714477,0.0009576505639496968,0.008264169681492461
