代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
SPTAUUSDOZ.IDC,伦敦金现,2023-08-03,1934.33,1938.925,1929.2,1933.72,-0.0002,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-04,1934.22,1946.881,1924.898,1942.69,0.0046,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-07,1942.481,1946.73,1931.2,1936.1,-0.0034,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-08,1936.015,1938.11,1922.5,1924.8,-0.0058,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-09,1925.01,1932.36,1913.505,1913.7,-0.0058,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-10,1921.11,1930.15,1911.7,1912.14,-0.0008,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-11,1912.33,1920.94,1910.6,1913.04,0.0005,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-14,1912.84,1916.25,1902.3,1906.7,-0.0033,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-15,1907.36,1911.594,1895.9,1901.54,-0.0027,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-16,1901.225,1907.19,1891.148,1891.47,-0.0053,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-17,1892.38,1903.425,1884.6,1888.94,-0.0013,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-18,1889.245,1896.773,1886.4,1888.9,0.0,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-21,1889.031,1898.741,1884.5,1894.63,0.003,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-22,1894.79,1904.5,1889.018,1897.311,0.0014,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-23,1897.28,1920.31,1896.9,1915.329,0.0095,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-24,1914.994,1923.37,1911.4,1916.52,0.0006,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-25,1916.82,1922.48,1903.5,1914.52,-0.001,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-28,1915.59,1926.04,1912.2,1919.85,0.0028,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-29,1920.02,1938.12,1914.1,1937.35,0.0091,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-30,1937.38,1949.05,1934.6,1942.07,0.0024,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-08-31,1942.75,1947.87,1938.7,1939.73,-0.0012,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-01,1939.9,1952.95,1934.365,1940.07,0.0002,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-04,1940.32,1946.32,1936.3,1938.28,-0.0009,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-05,1938.47,1938.99,1924.9,1925.76,-0.0065,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-06,1925.66,1929.165,1914.8,1916.4,-0.0049,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-07,1917.75,1923.58,1915.8,1919.3,0.0015,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-08,1919.43,1929.69,1916.8,1918.07,-0.0006,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-11,1919.69,1930.69,1916.51,1922.1,0.0021,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-12,1921.81,1924.48,1907.3,1913.19,-0.0046,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-13,1913.07,1915.72,1905.3,1907.8,-0.0028,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-14,1908.82,1912.9,1900.4,1910.96,0.0017,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-15,1910.63,1930.41,1909.2,1923.57,0.0066,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-18,1924.09,1934.18,1921.7,1933.2,0.005,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-19,1933.51,1937.361,1928.7,1930.66,-0.0013,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-20,1931.63,1947.39,1926.8,1929.65,-0.0005,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-21,1930.88,1931.57,1913.0,1919.1,-0.0055,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-22,1919.75,1929.12,1918.4,1924.68,0.0029,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-25,1926.63,1927.19,1914.7,1915.06,-0.005,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2023-09-26,1916.89,1916.89,1898.8,1900.24,-0.0077,0.0,0.0
