排名,开始日期,结束日期,相似度得分,平均相关系数,区间收盘涨跌幅,随后10期收盘涨跌幅,相关_收盘价(元)
1,2018-02-05,2018-03-16,46.79887049960399,0.7117233130562992,-0.018733806718485124,0.008240754831836838,0.7117233130562992
2,1985-05-01,1985-06-13,45.56118535931323,0.691012365758706,0.0040000000000000036,0.003984063745019917,0.691012365758706
3,2022-02-23,2022-04-05,43.660227581781015,0.656601120378199,0.007671358619511848,0.01379296001663799,0.656601120378199
4,1977-03-30,1977-05-12,42.600435902330055,0.6359346909040628,-0.015055202408832402,-0.02377717391304346,0.6359346909040628
5,2012-03-14,2012-04-24,41.82391664899042,0.6200679498086853,-0.0015867418899859764,-0.022408008427359682,0.6200679498086853
