排名,开始日期,结束日期,相似度得分,平均相关系数,区间收盘涨跌幅,随后20期收盘涨跌幅,相关_收盘价(元)
1,1984-11-20,1985-02-21,73.45692574472281,0.9524228223596972,-0.1249087990661023,0.04218776054694007,0.9524228223596972
2,2021-01-20,2021-04-13,70.2478657187624,0.9376459785730838,-0.06763468805033601,0.0528825214899713,0.9376459785730838
3,1990-02-12,1990-05-09,69.85707690385959,0.9356604149632822,-0.11591261788229679,-0.047258979206049156,0.9356604149632822
4,1937-07-30,1942-06-30,69.39801157603195,0.9332735820944786,-0.027019258407588342,0.0,0.9332735820944786
5,1992-02-17,1992-05-18,68.81327525590416,0.9301466833450202,-0.043600959503316106,0.010179994098554301,0.9301466833450202
