窗口,主要状态,阶段,上涨趋势概率,下跌趋势概率,低波动震荡概率,高波动震荡概率,震荡合计概率,未来10期原始上涨概率,未来收益中位数,80%下限,80%上限
40,下跌趋势,下跌趋势中的短期反弹,2.8481913184975278e-108,0.5934550676177703,0.3879021429301774,0.018642789452052236,0.4065449323822296,0.6897540776974922,0.0013689783105896697,-0.049304151176036565,0.0654519302529485
60,下跌趋势,下跌趋势中，位于窗口低位,1.4636745653163982e-28,0.988780620472685,3.2326900836080487e-10,0.011219379204045827,0.011219379527314836,0.7271178929302655,0.007860104165569686,-0.052876704554725616,0.06579838483812783
90,下跌趋势,下跌趋势中，位于窗口低位,1.8039739861454786e-08,0.9999724069794038,0.0,2.7574980855957013e-05,2.7574980855957013e-05,0.3764195157503589,0.0012784050163757367,-0.06146768561018332,0.06255283257688106
