排名,开始日期,结束日期,来源窗口,最佳相似度,集成权重,随后10期收益
1,1981-04-15,1981-08-25,"60,90",72.00806744168078,0.02473025914217305,0.06589383770591817
2,1982-04-14,1982-07-08,"40,60",70.89092339538138,0.02152823175033313,0.12599681020733655
3,1984-04-18,1984-08-28,"60,90",63.797075493783595,0.02015795107760851,-0.027019299499642546
4,2006-08-02,2006-10-24,"40,60",55.49086069513257,0.017739760640983884,0.06539346917895794
5,2020-12-09,2021-04-14,"60,90",56.74392537197286,0.015053858994649979,0.025747364783134552
6,1987-05-13,1987-07-08,40,56.58018550207525,0.01248202293481244,0.019041218637992907
7,1981-11-27,1982-02-25,"40,60",57.742073854447675,0.010890201510409892,-0.09469231818802015
8,1992-01-03,1992-05-18,"60,90",51.55187644360066,0.01087433608802918,0.00029507229271175106
9,2009-11-24,2010-01-18,40,54.6646865059295,0.010595574396312424,-0.02478828510938591
10,2016-09-05,2017-01-09,"60,90",50.38027235543597,0.010381645930750163,0.03125
11,2015-08-31,2016-01-04,"60,90",51.52358826170968,0.010167523601563354,0.013448240560638203
12,2013-03-15,2013-06-06,60,63.93519846219194,0.009860736696828722,-0.09113734254655537
13,1993-07-12,1993-10-01,60,62.875930424717595,0.009388074246721965,0.026863572433192706
14,1990-01-09,1990-05-17,90,60.5755270267642,0.009364049022768302,-0.015574214517876439
15,2013-08-29,2013-10-23,40,53.25953425113429,0.009360940062189392,-0.011616744911580712
16,2003-01-30,2003-04-23,60,62.629892786475025,0.009280472372939282,0.032603773584905626
17,1981-03-30,1981-05-28,40,53.0659425301357,0.009200163585053258,-0.030793319415448828
18,1987-11-24,1988-04-06,90,60.02578038794053,0.009180383061674487,0.01678337223518933
19,1991-05-29,1991-10-02,"60,90",46.74666377837435,0.00902566112816351,0.0015449438202248533
20,1984-11-01,1985-03-18,90,58.96412313288244,0.008831242730208638,0.0744520662539736
21,1984-11-01,1985-01-29,60,61.363296015874205,0.008739403213375052,0.0029678483099750963
22,2000-01-28,2000-06-01,90,58.49937600789269,0.008680701495113598,0.0625
23,1981-12-10,1982-04-23,90,58.134712162568746,0.00856355690718112,-0.06600425833924772
24,2013-11-11,2014-01-03,40,51.961104400114245,0.008323840768834636,0.013775151373068839
25,2022-08-08,2022-10-28,"40,60",47.68396448396856,0.008284630191510446,0.07717448154229767
26,1983-07-26,1983-11-29,90,57.151227813383024,0.008251900289979656,-0.005874840357598998
27,2010-06-18,2010-08-12,40,51.83623903284864,0.00822910669407923,0.019565844214688877
28,2013-02-11,2013-06-14,90,57.05042416158905,0.008220308730274113,-0.11229273624113789
29,1980-07-01,1980-08-26,40,51.81946611280591,0.00821644640793637,0.06623201081338959
30,2022-02-21,2022-06-27,90,56.9815616147817,0.008198765014333339,-0.048636928249447986
31,1986-10-02,1986-12-30,60,59.75694996055019,0.008083696414700267,0.07073954983922826
32,2020-07-29,2020-09-22,40,51.411568811898334,0.007913268191854657,-0.01158016633329828
33,1980-10-10,1980-12-05,40,51.31937237264419,0.007845982059763902,-0.08946951702296124
34,1997-09-19,1998-01-22,90,55.77430117529587,0.00782602316773402,0.027171109200343935
35,1988-06-27,1988-11-02,90,54.93586540742821,0.007572655829503211,0.021940928270042237
36,1983-12-02,1984-02-02,40,50.92427520763345,0.007562734014455221,0.0016960208741030325
37,1997-09-29,1997-12-19,60,58.34818384014282,0.007536095884250527,-0.002767687251340689
38,2012-02-01,2012-04-24,"40,60",46.69957499956573,0.007491714309017163,-0.022408008427359682
39,2014-06-19,2014-10-22,90,54.54634841839798,0.007456477343655936,-0.08201974012591184
40,1990-02-23,1990-05-22,60,58.04113063768096,0.0074200874660689566,-0.041588909624100334
41,2013-09-04,2014-01-07,90,54.28201089299578,0.0073781872064256114,0.00755620485350228
42,1984-06-27,1984-08-21,40,50.46894793555745,0.0072463892981337345,-0.05130057803468213
43,1987-12-22,1988-03-21,60,57.1785216947348,0.007100503077293257,0.0013355592654424875
44,1997-04-23,1997-08-26,90,53.05178255789428,0.007019684409088915,-0.01350107394906408
45,2006-01-26,2006-03-22,40,50.08964067637503,0.0069909221458932655,0.06844589687726943
46,1989-02-21,1989-06-30,90,52.897602366113006,0.006975433588431032,-0.0058981233243967646
47,2003-01-02,2003-05-07,90,52.87368368271773,0.006968582286764021,0.08624470106709548
48,1980-11-18,1981-04-01,90,52.813524221909525,0.006951366188708588,-0.07389402041808457
49,2004-03-22,2004-06-11,60,56.720849645110846,0.006934693504268562,0.04420751527759714
50,2008-02-22,2008-05-15,"40,60",43.7309890789866,0.006818097972268565,-0.004253388532864499
51,2018-05-17,2018-09-19,90,51.9453621078139,0.00670547721338068,-0.005648309660270967
52,2021-02-16,2021-04-12,40,49.60237107938086,0.006673237143574307,0.028053567305472038
53,1980-09-10,1980-12-03,60,55.97794662179214,0.006671022681027234,-0.08213716108452951
54,2001-05-15,2001-07-09,40,49.48469143076266,0.00659825130061474,0.008250515657228785
55,2000-02-11,2000-05-04,60,55.63208225773925,0.0065505603310842845,-0.023575638506876162
56,1983-09-16,1983-11-10,40,49.22958597796222,0.0064379818939935855,-0.01650078575170244
57,2007-10-31,2007-12-25,40,49.181711767504126,0.006408250767759891,0.08817843866170993
58,2013-10-18,2014-01-09,60,54.46809813133715,0.006155712780535522,0.02947188403436618
59,1983-08-22,1983-11-14,60,54.359909417758736,0.00611983241322368,0.030449555671719697
60,2022-03-30,2022-06-22,60,54.18720258348929,0.006062841322587183,-0.05403169807377928
61,2011-10-28,2012-01-19,60,54.15141106615734,0.006051074555022872,0.0609823016854103
62,2015-04-14,2015-08-17,90,49.53594007143786,0.0060480187448599355,0.015214570188392118
63,2018-06-15,2018-09-06,60,53.76242670392659,0.005924163143621951,0.006067071138075919
64,2002-07-11,2002-09-04,40,48.18093188413152,0.005811153387224106,0.018115366279993772
65,1993-06-24,1993-10-27,90,47.92103532629291,0.005627787120893801,0.02001352265043943
66,1980-12-12,1981-03-13,60,52.7766279886312,0.00561042827313712,0.09502032520325199
67,1990-12-19,1991-05-07,90,47.712931962946875,0.005574820864447387,0.0004211708549768378
68,1999-03-26,1999-07-29,90,47.61938763037218,0.005551100107888816,0.015579357351509282
69,1987-01-12,1987-03-06,40,47.66272696744406,0.005519752487080954,-0.0045360925853275
70,2014-10-15,2014-12-09,40,47.61509917177484,0.005493560677726084,-0.04410748965976796
71,2003-03-05,2003-04-29,40,47.57147443512681,0.005469656482006146,0.046671652954375586
72,1982-12-29,1983-05-10,90,47.03352615459291,0.005403779437082032,-0.015661971830985943
73,2003-12-31,2004-02-24,40,47.29474578174136,0.0053199294160521686,-0.002723783583013506
74,1989-06-29,1989-08-23,40,47.29045812600397,0.0053176352831981735,-0.01911523757509559
75,2020-10-20,2020-12-14,40,47.24424438016502,0.005292957935553931,0.02556522691191776
76,2012-09-19,2013-01-22,90,46.38519676068735,0.005243240758370852,-0.011667749748921818
77,1983-02-01,1983-04-27,60,51.52413845380489,0.005227898535268473,0.012665515256188753
78,2004-04-05,2004-05-28,40,47.079552697361486,0.005205749931158829,-0.022371933392652865
79,2024-10-25,2024-12-19,40,47.04006464014326,0.005185009775206479,0.017283027161245856
80,1988-12-02,1989-03-03,60,51.33500499830057,0.00517167564408094,0.0204451345755694
81,2000-02-15,2000-04-10,40,47.012161697375255,0.00517039381557242,-0.007801418439716268
82,1981-10-30,1981-12-29,40,46.816541736521685,0.005068836594510249,-0.05126582278481018
83,2011-09-01,2012-01-04,90,45.61753266087636,0.005056527044857719,0.030001241002730383
84,2009-11-23,2010-02-12,60,50.91850108091356,0.0050492733247425965,0.022151493533812294
85,2014-08-06,2014-10-28,60,50.75740359070073,0.00500244762455254,-0.05234745224485826
86,1996-10-24,1997-02-26,90,45.27633342080677,0.004974711428283852,-0.0055045871559632475
87,1990-12-20,1991-03-21,60,50.53438853923424,0.004938098785174392,0.004553608389678443
88,1997-05-28,1997-08-19,60,50.52447052486868,0.00493524979660061,-0.002320185614849146
89,2020-08-03,2020-12-04,90,45.02193313865183,0.00491417773486678,0.023349002709496247
90,2020-08-06,2020-10-28,60,50.34959999536125,0.004885195559967225,-0.006318930150780555
91,1988-05-31,1988-08-23,60,50.335388192117804,0.0048811424153855825,-0.01005547850208055
92,1989-03-21,1989-06-16,60,50.142657688425,0.004826395430933075,0.020938825783495263
93,2001-09-17,2001-12-07,60,49.778515592844464,0.00472406638078559,0.013112365689309735
94,1986-09-05,1987-01-16,90,44.064476441283475,0.004689934949016955,-0.036564830406543125
95,1990-08-14,1990-10-10,40,45.89319732806507,0.004610531665548092,-0.05283307810107196
96,1992-09-04,1993-01-12,90,43.66824025446077,0.004598785670624841,0.004531722054380571
97,2009-03-13,2009-05-07,40,45.815055415948976,0.004573303035747407,0.04732623256835389
98,1981-06-18,1981-08-13,40,45.75799781208264,0.004546269754299956,0.011049723756906049
99,1997-06-18,1997-08-12,40,45.75199127563964,0.004543431280751148,-0.003516281914080488
100,2021-11-10,2022-01-04,40,45.70780980752453,0.004522595689962741,-0.0004288661066784716
101,2007-04-16,2007-07-06,60,49.02842809797387,0.0045178149453204116,0.041927123037048375
102,2019-08-27,2019-10-21,40,45.6908480284466,0.0045146167422301705,0.016976556184316705
103,1989-01-13,1989-03-10,40,45.657817673017185,0.004499110923065993,-0.006988564167725531
104,2022-04-22,2022-06-17,40,45.46323131311476,0.0044086156423026905,-0.016107681606747026
105,2004-02-18,2004-06-22,90,42.8087939312212,0.00440439452650417,-0.005570325357640127
106,1999-05-10,1999-07-30,60,48.5511440014177,0.0043897220276210526,0.018362961515921095
107,2018-01-22,2018-03-16,40,45.414013532721505,0.004385955622818832,0.008240754831836838
108,2012-02-06,2012-06-08,90,42.67909260284081,0.004375451677688577,-0.01317895133201541
109,1998-10-01,1999-02-04,90,42.63199148106415,0.004364966552898263,-0.011228191397477993
110,1985-08-20,1985-10-16,40,45.33058416615015,0.00434775469113111,0.007878881507801694
111,2014-03-11,2014-05-05,40,45.30271876316412,0.004335054299151533,-0.012844989537671991
112,2015-01-20,2015-04-13,60,48.27163041543193,0.004315831549895415,0.0027287520340468774
113,2004-11-26,2005-02-17,60,48.26258664615813,0.004313454605828105,0.005805651145913693
114,1989-06-29,1989-09-21,60,48.055797958205765,0.004259340456723664,0.009371554575523744
115,2011-11-24,2012-01-18,40,44.998662823579195,0.0041983675360529734,0.050272598572246086
116,2009-06-02,2009-07-27,40,44.94988735517442,0.004176761379737067,-0.007904889708965968
117,1992-09-28,1992-12-18,60,47.730138780030146,0.00417503078502126,-0.02359882005899705
118,1996-04-01,1996-08-02,90,41.619454180461446,0.004142845598041457,-0.0029673590504452063
119,1999-09-24,2000-01-27,90,41.47807715111947,0.004112329344409242,0.098134913717971
120,1991-01-17,1991-03-13,40,44.70692497695701,0.004070440390041285,-0.028278688524590256
121,2003-05-27,2003-07-21,40,44.68996576560514,0.004063099607056356,-0.0065387348969438985
