排名,开始日期,结束日期,相似度得分,平均相关系数,区间收盘涨跌幅,随后10期收盘涨跌幅,相关_收盘价(元)
1,1990-03-12,1990-05-09,54.248229998644405,0.8129728295663591,-0.07713395638629283,-0.015662975965433423,0.8129728295663591
2,2018-04-11,2018-06-05,53.93622798954445,0.8094284994733335,-0.04183605587996164,-0.01673995217156521,0.8094284994733335
3,1983-02-11,1983-04-11,53.68373727796423,0.8065206319650507,-0.15411298315163524,0.034563561804335174,0.8065206319650507
4,2006-08-30,2006-10-24,53.11903863501016,0.7998866182193053,-0.05301317659217142,0.06539346917895794,0.7998866182193053
5,1985-04-16,1985-06-12,52.59596687318887,0.7935771211226575,-0.04841149773071107,0.007154213036566048,0.7935771211226575
